Food Resource Type,Agency,Location,Operational Status,Operational Notes,Current Process for Distribution,Who They Serve,Address,Latitude,Longitude,Phone Number,Website,Days/Hours,Date Updated
Food Bank,Maple Valley Food Bank and Emergency Services,Maple Valley Food Bank,Limited Operations,"Service area only, proof of address: Maple Valley, Black Diamond, Hobart, Tahoma SD.",Onsite,General Public,"21415 Renton-Maple Valley Rd SE, Maple Valley, WA 98038",47.4093955,-122.0395922,(425)-432-8633,http://maplevalleyfoodbank.org/,"Tues: 10:30 am - 6:00 pm
Wed: 10:30 am - 1:00 pm",10/30/2020 12:00:00 AM
Student To-Go Meals,Mercer Island School District,Islander Middle School,Closed,Grab & Go Meals! for all children 0-18. Preorder is encouraged each day but not required. Orders will be taken between 6 pm the evening before and 9 am that day,Drive Up/Walk Up,Youth and Young Adults,"7447 84th Ave SE, Mercer Island, WA 98040",47.536879,-122.2283495,(206)-236-3306,http://www.mercerislandschools.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=16984&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=58083&PageID=2,"Mon, Tues, Wed, Thurs, Fri
11:30 am - 1:00 pm",09/10/2020 12:00:00 AM
Student To-Go Meals,Mercer Island School District,Mercer Island High School,Closed,Grab & Go Meals! for all children 0-18. Preorder is encouraged each day but not required. Orders will be taken between 6 pm the evening before and 9 am that day,Drive Up/Walk Up,Youth and Young Adults,"9100 SE 42nd St, Mercer Island, WA 98040",47.5719643,-122.2194874,(206)-236-3306,http://www.mercerislandschools.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=16984&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=58083&PageID=1,"Mon, Tues, Wed, Thurs, Fri
11:30 am - 1:00 pm",09/10/2020 12:00:00 AM
Meal,Mt. Si Senior Center,Mt. Si Senior Center,Limited Operations,"Call ahead to pre-register for a week's worth of lunches. 

For more information please call us at (425)-888-3434 ext 0. If you get our voice mail please leave your name and phone number.",Home Delivery,Older Adults 60+ and Eligible Participants,"411 Main Ave S, North Bend, WA 98045",47.4928162,-121.7885425,(425)-888-3434,http://www.mtsiseniorcenter.org/,"Limited Meal Delivery: 
Mon, Tues, Wed, Thurs, Fri: 11:30 am - 1:00 pm",10/30/2020 12:00:00 AM
Meal,Multicultural Self-Sufficiency Movement,Evergreen Senior Club - Federal Way Community Center,Limited Operations,Please call ahead for availability,Drive Up/Walk Up,Older Adults 60+ and Eligible Participants,"30819 14th Ave S, Federal Way, WA 98003",47.3256699,-122.3164786,(253)-945-6010,http://www.itallhappenshere.org/category/news/fwcc-operation-notices/,"To-go and Delivered Meals:
Tues, Thurs: 11:00 am - 1:00 pm",10/30/2020 12:00:00 AM
Student To-Go Meals,Multi-Service Center,MSC Food Bank,Limited Operations,Free meals for children ages 18 and younger.,Drive Up/Walk Up,Youth and Young Adults,"1200 S 336th Street, Federal Way, WA 98003",47.3013527,-122.3179533,(253)-838-6810,http://mschelps.org/gethelp/food,"Mon, Wed, Fri
12:00 pm - 2:00 pm",06/25/2020 12:00:00 AM
Student To-Go Meals,Multi-Service Center,King's Court Apartments,Limited Operations,Free meals for children ages 18 and younger.,Drive Up/Walk Up,Youth and Young Adults,"2217 S 333rd Street, Federal Way, WA 98003",47.302376,-122.304572,(253)-838-6810,http://mschelps.org/gethelp/food,"Mon, Tues, Wed, Thurs, Fri
12:00 pm - 1:00 pm",06/25/2020 12:00:00 AM
Student To-Go Meals,Multi-Service Center,La Madera Apartments,Limited Operations,Free meals for children ages 18 and younger.,Drive Up/Walk Up,Youth and Young Adults,"28620 Pacific Hwy S, Federal Way, WA 98003",47.3446382,-122.3110691,(253)-838-6810,http://mschelps.org/gethelp/food,"Mon, Tues, Wed, Thurs, Fri
2:00 pm - 3:00 pm",06/25/2020 12:00:00 AM
Student To-Go Meals,Multi-Service Center,MSC Family Shelter,Limited Operations,Free meals for children ages 18 and younger.,Drive Up/Walk Up,Youth and Young Adults,"23960 35th Pl S, Kent, WA 98032",47.3869518,-122.2870163,(253)-838-6810,http://mschelps.org/gethelp/food,"Mon, Tues, Wed, Thurs, Fri
12:00 pm - 1:00 pm",06/25/2020 12:00:00 AM
Meal,Musang Community Kitchen,Musang Community Kitchen,Limited Operations,Please contact us to place order and confirm pick-up time so we can be prepared to meet you outside.,Drive Up/Walk Up,General Public,"2524 Beacon Ave S, Seattle, WA 98144",47.5803727,-122.3127166,(206)-708-6871,http://www.musangseattle.com/community-kitchen,"Mon, Tues
12:00 pm - 4:00 pm",10/02/2020 12:00:00 AM
Meal,Muslim Community Resources Center,Muslim Community Resource Center,Closed,Closed,Closed,General Public,"16225 NE 87th St, Suite A-4, Redmond, WA 98052",47.6793571,-122.1235999,(888)-404-6272,http://mcrcseattle.org/,Closed,10/02/2020 12:00:00 AM
Meal,New Beginnings Christian Fellowship,New Beginnings Christian Fellowship,Open,Box lunch program,Drive Up/Walk Up,General Public,"19300 108th Ave SE, Kent, WA 98031",47.428904,-122.1954886,(425)-282-6220,http://thenbcf.org/,"Sat
1:00 pm - 2:00 pm",10/02/2020 12:00:00 AM
Food Bank,North Helpline,Lake City Food Bank,Open,Walk-up distribution of pre-packed food bags. No-cook option available.,Home Delivery and Drive Up/Walk Up,General Public,"12736 33rd Ave NE, Seattle, WA 98125",47.7223248,-122.2918447,(206)-367-3477,http://www.northhelpline.org/get-help/food-bank/,"Wed: 10:00 am - 1:00 pm
Thurs: 4:30 pm - 6:30 pm
Sat: 10:00 am - 1:00 pm",10/29/2020 12:00:00 AM
Food Bank,North Helpline,Bitter Lake Food Bank,Open,Walk-up distribution of pre-packed food bags. No-cook option available.,Home Delivery and Drive Up/Walk Up,General Public,"13000 Linden Ave N, Seattle, WA 98125",47.7242235,-122.3472592,(206)-367-3477,http://www.northhelpline.org/get-help/bitter-lake/,Sat: 10:00 am - 2:00 pm,10/29/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Sunrise Elementary School,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"14075 172nd Ave NE, Redmond, WA 98052",47.728022,-122.10869,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Arrowhead Elementary School,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"6725 NE Arrowhead Dr, Kenmore, WA 98028",47.737988,-122.251394,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri
11:15 a.m. - 12:45 p.m.. (for daily pick up ) for weekly",09/11/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Northshore Middle School,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"12101 NE 160th St, Bothell, WA 98011",47.7430291,-122.1798732,,http://www.nsd.org/northshore-learns/well-being/meals,"Thurs 11 am - 12 pm, (July 1st Wed 11 am - 12 pm)",09/11/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Cottage Lake Elementary,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"15940 Avondale Rd NE, Woodinville, WA 98077",47.7446942,-122.0791994,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Campbell Run Apartments,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"13305 NE 171st St, Woodinville, WA 98072",47.7498732,-122.1615345,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Greenleaf Apartments,Closed,last day of summer meals August 13th,Drive Up/Walk Up,Youth and Young Adults,"16718 Juanita Dr NE, Kenmore, WA 98028",47.7500981,-122.2476286,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri
11:35 am - 11:50 am",09/11/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Riverside Drive Mobile Estates,Closed,last day of summer meals August 13th,Drive Up/Walk Up,Youth and Young Adults,"11510 E Riverside Dr, Bothell WA 98011",47.7553552,-122.1880446,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri
11:20 am - 11:35 am",09/11/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Rivercroft Apartments,Closed,last day of summer meals August 13th,Drive Up/Walk Up,Youth and Young Adults,"12109 Woodinville Dr, Bothell, WA 98011",47.755441,-122.177111,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri
11:40 am - 11:55 am",09/11/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Valley View Mobile Home Park,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"12033 Woodinville Dr, Bothell, WA 98011",47.755643,-122.1800869,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Woodinville Park and Ride,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"17800 140th Ave NE, Woodinville, WA 98072",47.7568408,-122.1520306,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Cedar Park Apartments,Closed,"On Fridays, all children will receive weekend meal packs that contain 3 lunches and 3 breakfasts. Use the regular order form to receive a weekend meal pack on Friday.",Drive Up/Walk Up,Youth and Young Adults,"7512 NE Bothell Way, Kenmore, WA 98028",47.757926,-122.2399821,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri
10:50 am - 11:05 am",09/11/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Lazy Wheels Mobile Park,Closed,"On Fridays, all children will receive weekend meal packs that contain 3 lunches and 3 breakfasts. Use the regular order form to receive a weekend meal pack on Friday.",Drive Up/Walk Up,Youth and Young Adults,"10515 Woodinville Dr, Bothell, WA 98011",47.7580768,-122.1996656,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri
11:35 am - 11:50 am",09/11/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,The Retreat at Bothell Apartments,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"18101 126th Ave NE, Bothell, WA 98011",47.760014,-122.1728398,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Lakewood Mobile Park,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"6905 NE 182nd St, Kenmore, WA 98028",47.7608474,-122.2481513,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Bothell High School,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"9130 NE 180th St, Bothell WA 9801",47.761154,-122.218821,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Pop Keeney Stadium,Closed,last day of summer meals August 13th,Drive Up/Walk Up,Youth and Young Adults,"9809 NE 188th St, Bothell, WA 98011",47.7631779,-122.2112719,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri
11:45 am - 12:00 am",09/11/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Greenbrier Park,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"18746 144th Ave NE, Woodinville, WA 98072",47.7634788,-122.147583,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Timbers at Kenmore,Closed,last day of summer meals August 13th,Drive Up/Walk Up,Youth and Young Adults,"18930 68th Ave NE, Kenmore, WA 98028",47.7655603,-122.2493602,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri
11:15 am - 11:30 am",09/11/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Heritage Park Apartments,Closed,last day of summer meals August 13th,Drive Up/Walk Up,Youth and Young Adults,"9834 NE 190th St, Bothell, WA 98011",47.7667338,-122.2088803,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri
10:50 am - 11:05 am",09/11/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Hollyhills Park,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"19200 Hollyhills Dr NE, Bothell, WA 98011",47.767014,-122.168992,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Kenmore Elementary,Closed,last day of summer meals August 13th,Drive Up/Walk Up,Youth and Young Adults,"19121 71st Ave NE, Kenmore, WA 98028",47.7675181,-122.243935,,http://www.nsd.org/northshore-learns/well-being/meals,Thurs  10:50 - 11:15 am (July 1st Wed  10:50 - 11:15 am),09/11/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Woodin Elementary,Closed,"No summer meals. On Fridays, all children will receive weekend meal packs that contain 3 lunches and 3 breakfasts. Use the regular order form to receive a weekend meal pack on Friday.",Drive Up/Walk Up,Youth and Young Adults,"12950 NE 195th St, Bothell, WA 98011",47.7681382,-122.1676646,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri
10:50 am - 11:05 am",09/11/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Maywood Hills Elementary,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"19510 104th Ave NE, Bothell, WA 98011",47.7695974,-122.1982439,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Woodinville High School,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"19819 136th Ave NE, Woodinville, WA 98072",47.7712405,-122.161063,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Kenmore Middle School,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"20323 66th Ave NE, Kenmore, WA 98028",47.7761432,-122.2543884,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Canyon Park Middle School,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"23723 23rd Ave SE, Bothell, WA 98021",47.7831954,-122.2016757,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Shelton View Elementary,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"23400 5th Ave W, Bothell, WA 98021",47.78557,-122.239596,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Northwest Mobile Estates,Closed,last day of summer meals August 13th,Drive Up/Walk Up,Youth and Young Adults,"100 228th St SE, Bothell, WA 98021",47.791013,-122.230665,,http://www.nsd.org/northshore-learns/well-being/meals,Thurs 11:10 - 11:30 am (July 1st Wed 	11:10 - 11:30 am),09/11/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Frank Love Elementary,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"303 224th St SW, Bothell, WA 98021",47.795915,-122.236934,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Crystal Springs Elementary,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"21615 9th Ave SE, Bothell, WA 98021",47.8010893,-122.2200575,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Twin Creek Mobile Park,Closed,last day of summer meals August 13th,Drive Up/Walk Up,Youth and Young Adults,"1627 208th St SE, Bothell, WA 98012",47.8099303,-122.2110328,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri
11:35 am - 11:50 am",09/11/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Willow Tree Grove Apartments,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"2129 Maltby Rd, Bothell, WA 98021",47.8107754,-122.2037458,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Autumn Chase Apartments,Closed,"No summer meals. On Fridays, all children will receive weekend meal packs that contain 3 lunches and 3 breakfasts. Use the regular order form to receive a weekend meal pack on Friday.",Drive Up/Walk Up,Youth and Young Adults,"20415 Bothell Everett Hwy, Bothell, WA 98012",47.812602,-122.2056377,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri
11:15 am - 11:30 am",09/11/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Parklane Townhomes,Closed,last day of summer meals August 13th,Drive Up/Walk Up,Youth and Young Adults,"20310 Bothell Everett Hwy, Bothell, WA 98012",47.813774,-122.2088353,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri
11:15 am - 11:30 am",09/11/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,Thunderbird Mobile Home Park,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"19330 Winesap Rd, Bothell, WA 98012",47.821426,-122.227126,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Student To-Go Meals,Northshore School District,North Creek High School,Open,Free meals for all children ages 18 and younger. Must pre-order. Choice of daily meal pack (pick up Monday-Friday) or a weekly meal pack (pick up Wednesdays). Home delivery option.,Drive Up/Walk Up,Youth and Young Adults,"3613 191st Pl SE, Bothell, WA 98012",47.8244001,-122.1827487,,http://www.nsd.org/northshore-learns/well-being/meals,"Mon, Tues, Wed, Thurs, Fri 11:15 a.m. - 12:45 p.m.. weekly meals can only be picked up Wed",09/17/2020 12:00:00 AM
Food Bank,Northwest Harvest,SODO Community Market,Open,"If you are in need of food but feel uncomfortable waiting in line, we are now offering curbside pickup services. Please drive up to the front of our building and call 206-380-0277. Let our staff member know which car is yours, and we will then deliver a bag of pre-packed groceries to your car.",Drive Up/Walk Up,General Public,"1915 4th Ave S, Seattle, WA 98134",47.5855714,-122.3295651,(206)-380-0277,http://www.northwestharvest.org/sodo-community-market?gclid=CjwKCAjwguzzBRBiEiwAgU0FT2oeYOjgOqT-nfdpq8cCoSR-ynhQyJnFA4Xuzmhtt749Xzpz19jAZRoCaTUQAvD_BwE,"Mon: 1:30 pm - 7:30 pm
Wed: 8:00 am - 2:00 pm
Fri: 8:00 am - 2:00 pm",10/30/2020 12:00:00 AM
Food Bank,Northwest Harvest/World Relief,Hillside Church,Open,Groceries to feed a family of 4,Drive Up/Walk Up,General Public,"930 E James St, Kent, WA 98031",47.3861959,-122.2218815,(253)-852-5144,http://hillsidechurch.squarespace.com/local-1,Sat: 9:00 am - 12:00 pm,10/30/2020 12:00:00 AM
Meal,Northwest SHARE,University Heights Center,Open,Free Vegetarian Food Truck,Onsite,General Public,"5031 University Way NE, Seattle, WA 98105",47.666133,-122.3137458,(206)-527-4278,http://www.uheightscenter.org/coronavirus,"Wed: 6:00 pm - 8:00 pm
Fri: 6:00 pm - 8:00 pm
Sat: 5:30 pm - 8:00 pm
Sun: 12:00 pm - 2:00 pm",10/02/2020 12:00:00 AM
Meal,Operation Nightwatch,,Limited Operations,To-go ready-to-eat food available nightly.,Onsite,General Public,"302 14th Ave S, Seattle, WA 98144",47.5998571,-122.3137564,(206)-323-4359,http://www.seattlenightwatch.org/what-we-do/food-and-shelter/,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat
9:00 pm",10/02/2020 12:00:00 AM
Meal,"Operation Sack Lunch, Inc.",Millionair Club,Open,,Drive Up/Walk Up,General Public,"2515 Western Ave, Seattle, WA 98121",47.6140051,-122.3503064,(206)-922-2015,http://www.oslserves.org/,"Mon, Tues, Wed, Thurs, Fri:
8:00 am -9:00 am
12:30 pm -2:00 pm
5:00 pm - 6:30 pm
Sat & Sun (can vary so call):
10:00 am - 11:00 am
12:30 pm - 2:00 pm
5:00 pm - 6:30 pm",10/30/2020 12:00:00 AM
Food Bank,Paradise of Praise,Food Bank,Open,,Drive Up/Walk Up,General Public,"1316 SW Holden Street, Seattle, WA 98106",47.5344477,-122.3524692,(206)-432-7210,http://www.paradiseofpraise.org/,Tues: 10:00 am - 12:00 pm,10/30/2020 12:00:00 AM
Meal,Phinney Neighborhood Association,St. John United Lutheran Church,Open,"No eligibility requirements,
To go prepared meals",Drive Up/Walk Up,General Public,"5515 Phinney Ave N, Seattle, WA 98103",47.6688384,-122.354731,(206)-783-2244,http://www.phinneycenter.org/hotmeal/,"Tues: 4:00 pm - 6:00 pm
Wed: 11:00 am - 1:00 pm",10/30/2020 12:00:00 AM
Meal,Phinney Neighborhood Association,Hot Meals Program Greenwood Senior Center,Open,"No eligibility requirements,
To go prepared meals",Drive Up/Walk Up,General Public,"525 N 85th St, Seattle, WA 98103",47.6904002,-122.3509931,(206)-297-0875,http://www.phinneycenter.org/hotmeal/,Mon: 4:00 pm - 6:00 pm,10/30/2020 12:00:00 AM
Food Bank,Phinney Ridge Lutheran Church,Phinney Ridge Food Bank,Open,,Drive Up/Walk Up,General Public,"7500 Greenwood Ave N, Seattle, WA 98103",47.6835063,-122.3547797,(206)-783-2350,http://prlc.org/phinney-ridge-lutheran-church-food-bank,"Tues: 1:15 pm - 3:00 pm
Wed: 6:15 pm - 8:00 pm",10/30/2020 12:00:00 AM
Food Bank & Meal,Pike Market Senior Center,"Pike Market Food Bank, Meals and Home Delivery (located in Pike Place Market)",Limited Operations,"Food Banks: Pre-packaged grocery bags pick up out front for social distancing.

Meals: Please call ahead for availability

Dinner is handed out with lunch.",Home Delivery and Drive Up/Walk Up,"Food Banks: Contact Agency for Any Eligibility Requirements
Meals: Older Adults 55+ and Eligible Participants","85 Pike Street, Seattle, WA 98101",47.6084268,-122.3405616,(206)-728-2773,http://www.pikemarketseniorcenter.org/,"Food Bank: 
Tues: 9:30 am - 3:00 pm
Wed: 3:00 pm - 7:00 pm
Thurs: 9:30 am - 3:00 pm

Meals:
Sun, Mon, Tues, Wed, Thurs, Fri, Sat: 
8:15 am - 9:00 am & 12:00 pm - 1:00 pm",10/29/2020 12:00:00 AM
Food Bank,Praisealujah,,Open,Distributing grab and go food; Can provide food beyond hours listed but should will need to call in advance.,Drive Up/Walk Up,General Public,"20842 International Boulevard, Seattle, WA 98198",47.414662,-122.29695,(206)-307-9166,http://praisealujah.org/,"Sun
11:00 am - 2:00 pm",10/30/2020 12:00:00 AM
Food Bank,Praisealujah / Burien,,Open,Distributing grab and go food; Can provide food beyond hours listed but should will need to call in advance.,Drive Up/Walk Up,General Public,"14006 1st Ave S, Burien, WA 98168",47.477236,-122.3331695,(206)-307-9166,http://praisealujah.org/,"Wed, Thurs
11:00 am - 2:00 pm",10/30/2020 12:00:00 AM
